title,ratings,mean_ratings
"""mixed up""",467,3.467880085653105
"""the paramedic angel""",460,3.591304347826087
#alive,472,3.5582627118644066
#annefrank - parallel stories,486,3.55761316872428
#blackaf,515,3.5893203883495146
#cats_the_mewvie,497,3.484909456740443
#friendbutmarried,545,3.4935779816513763
#friendbutmarried 2,482,3.5394190871369293
#home,474,3.4757383966244726
#home (4k uhd),459,3.454248366013072
#igotthis,506,3.510869565217391
#imomsohard live,448,3.484375
#lagira de #eldisco,479,3.5031315240083507
#lucky number,501,3.5339321357285427
#realityhigh,503,3.5506958250497016
#roxy,501,3.565868263473054
#rucker50,481,3.5363825363825363
#selfie,457,3.482494529540481
#selfie 69,498,3.5622489959839356
#unfit: the psychology of donald trump,490,3.486734693877551
#washed,459,3.5501089324618738
'71,468,3.4957264957264957
'76,494,3.5091093117408905
'89,504,3.570436507936508
'allo 'allo!,495,3.573737373737374
(500) days of summer,464,3.5269396551724137
(dub) afro samurai resurrection,504,3.5287698412698414
(dub) akira,470,3.5148936170212766
(dub) dragon age: dawn of the seeker,468,3.5438034188034186
(dub) mass effect: paragon lost,508,3.469488188976378
(dub) sword art online: the movie - ordinal scale,498,3.5853413654618476
(sub) akira,474,3.586497890295359
(sub) fafner: heaven and earth,484,3.4855371900826446
(sub) fairy tail the movie: phoenix priestess,508,3.50492125984252
(sub) k missing kings,440,3.5306818181818183
(sub) legend of heroes: trails in the sky,491,3.383910386965377
(sub) ninja scroll,465,3.50752688172043
(sub) sword art online: the movie - ordinal scale,488,3.526639344262295
(sub) trigun: badlands rumble,454,3.501101321585903
(t)error,471,3.6072186836518045
(un)well,489,3.539877300613497
.hack//roots,507,3.562130177514793
.hack//sign,512,3.4677734375
1 chance 2 dance,446,3.5056053811659194
1 mile to you,461,3.6399132321041217
1 night in san diego,988,3.5359311740890687
1/2 new year,486,3.6183127572016462
10 cent pistol,461,3.4945770065075923
10 day yoga for weight loss challenge with chelsey,496,3.524193548387097
10 days in sun city,468,3.550213675213675
10 endrathukulla,449,3.4910913140311806
10 hours for christmas,503,3.5675944333996026
10 items or less,440,3.5204545454545455
10 jours en or,489,3.521472392638037
10 little buses & more counting songs for kids - kiiyii,504,3.4632936507936507
10 minute meditation for sleep,483,3.624223602484472
10 minutes gone,451,3.5365853658536586
10 minutes gone (4k uhd),502,3.495019920318725
10 rillington place,491,3.5723014256619146
10 things i hate about you,1411,3.52586817859674
10 things you don't know about,526,3.4990494296577945
10 to midnight,486,3.483539094650206
"10,000 b.c.",469,3.4957356076759063
10-minute guided meditation,461,3.4793926247288502
10.0 earthquake,959,3.573514077163712
10/31 part 2,481,3.5675675675675675
100 days my prince,487,3.482546201232033
100 days of solitude,491,3.5682281059063135
100 days to live,502,3.512948207171315
100 foot wave,520,3.535576923076923
100 girls,473,3.5697674418604652
100 humans,482,3.58195020746888
100 kilos,509,3.4695481335952847
100 meters,455,3.5373626373626372
100 streets,985,3.53248730964467
100 things to do before high school,451,3.5476718403547673
100 women,461,3.5878524945770067
100 years: one woman's fight for justice,492,3.5386178861788617
100% halal,477,3.542976939203354
100% hotter,476,3.494747899159664
100% wolf,473,3.529598308668076
100-minutes of symphony on washington's lake crescent,523,3.589866156787763
1000 rupee note,456,3.504385964912281
1000-lb sisters,474,3.45042194092827
100m criminal conviction,484,3.59297520661157
101 dalmatian street,486,3.5082304526748973
101 dalmatians,492,3.483739837398374
101 dalmatians (series),513,3.5155945419103314
101 dalmatians ii: patch's london adventure,446,3.5269058295964126
102 dalmatians,452,3.5575221238938055
102 not out,470,3.467021276595745
11.22.63,471,3.5881104033970277
12 'o' clock,485,3.54020618556701
12 dates of christmas,971,3.49124613800206
12 hour shift,465,3.5172043010752687
12 monkeys,503,3.5318091451292246
12 pups of christmas,478,3.6202928870292888
12 round gun,464,3.5797413793103448
12 rounds 3: lockdown,502,3.5308764940239046
12 years a slave,458,3.5120087336244543
12 years promise,494,3.483805668016194
122,492,3.5680894308943087
127 hours,489,3.51840490797546
12b,478,3.448744769874477
13 assassins,495,3.5484848484848484
13 assassins (english subtitled),485,3.5783505154639177
13 cameras,495,3.5757575757575757
13 ghosts of scooby-doo!,440,3.460227272727273
13 nights of elvira,486,3.5174897119341564
13 reasons why,441,3.5272108843537415
13 reasons why: beyond the reasons,467,3.5942184154175587
13 sins,473,3.531712473572939
